institution,position,address,url,year
" SU of New York, C at Potsdam",Assistant Professor of Rhetoric and/or Composition  [18151] ,"English & Communication, 44 Pierrepont Av, Potsdam, NY 13676",http://www.potsdam.edu,2012-2013
" U of North Carolina, Charlotte","Assistant Professor/Coordinator, Writing Resources Center  [18101] ","English, 9201 University City Blvd, Charlotte, NC 28223",http://english.uncc.edu/,2012-2013
"U of Texas, Tyler",Assistant Professor in Rhetoric and Composition  [18110] ,"Lits & Langs, 3900 University Blvd, Tyler, TX 75799",http://www.uttyler.edu/faculty/jobs,2012-2013
University of Virginia, Associate or Full Professor to serve as Director of the Writing Program  [18111] ,"English, PO Box 400121, 219 Bryan Hall, Charlottesville, VA 22904",http://www.engl.virginia.edu,2012-2013
"Baruch College, CUNY",Associate or Full Professor/Director of the Writing Program  [18254] ,"English, 1 Bernard Baruch Way, New York, NY 10010",http://www.baruch.cuny.edu/,2012-2013
 Clemson University,Writing Across the Curriculum  [18206] ,"English, PO Box 340523 801 Strode Tower, Clemson, SC 29634",http://www.clemson.edu/caah/english,2012-2013
Clemson University,Technical Writing  [18207] ,"English, PO Box 340523 801 Strode Tower, Clemson, SC 29634",http://www.clemson.edu/caah/english,2012-2013
Elon University,"Assistant Professor of English Composition, Tenure-Track  [18215] ","English, 2338 Campus Box, Elon, NC 27244",http://www.elon.edu/english,2012-2013
Elon University,Lecturer in English Composition [18216],"English, 2338 Campus Box, Elon, NC 27244",http://www.elon.edu/english,2012-2013
George Washington U,Assistant Professor of Professional/Technical Writing  [18185] ,"University Writing Prog, 801 22nd St NW, 553 Rome Hall, Washington, DC 20052",http://www.gwu.edu,2012-2013
Iowa State University,"Assistant Professor, Director of Public Speaking  [18187] ","English, 203 Ross Hall, Ames, IA 50011",http://engl.iastate.edu/,2012-2013
Luther College,Assistant Professor of English  [18169] ,"English, 700 College Dr, Decorah, IA 52101",http://www.luther.edu/academics/dean/openings/,2012-2013
Manhattan College,Writing Center Coordinator  [18177] ,"English, 4513 Manhattan College Pky, Bronx, NY 10471",http://www.manhattan.edu,2012-2013
Northern Michigan University,"Assistant Professor, tenure-track position in Developmental English/Reading  [18174] ","English, 1401 Presque Isle Av, Marquette, MI 49855",http://www.nmu.edu,2012-2013
Tennessee State University,Assistant Professor of English (Multiple Positions)  [18239] ,"Langs, Lit, & Philos, 3500 John A Merritt Blvd, Nashville, TN 37209",http://www.tnstate.edu,2012-2013
University of Florida,Program Director of University Writing Program  [18204] ,"English, PO Box 117310, Gainesville, FL 32611",http://www.hr.ufl.edu/recruitment/applicant_resources/work-UF.asp,2012-2013
University of Idaho ,"Advanced Assistant/Associate Professor, Rhetoric and Composition; Writing Program Administrator  [18211] ","English, PO Box 441102, Moscow, ID 83844",http://www.uidaho.edu/class/english/,2012-2013
University of Southern California ,Lecturers in Writing  [18161] ,"Writing Prog, 950 W Jefferson Blvd, Rm 150 JEF 150, MC 1293, Los Angeles, CA 90089",http://usc.edu,2012-2013
University of Tampa ,Assistant Professor of English (First Year Writing)  [18209] ,"Langs & Linguistics, 401 W Kennedy Blvd Box R, Tampa, FL 33606",http://jobs.ut.edu,2012-2013
